text_id,text,Anger,Joy,Sadness,Surprise,Fear,Disgust
kinyarwanda_1_00062,"Amakipe APR FC yahoze itsinda muri Afurika yamaze kuyisiga, murasezeranya abakunzi bayo ko kuri iyi nshuro muje guhangana ku ruhando mpuzamahanga?",0,0,0,0,0,0
kinyarwanda_1_00063,Ntabwo twari tubimenyereye ariko twabonye twarakinnye neza.,0,1,0,0,0,0
kinyarwanda_1_00064,"Mu buhamya bw’uko yabanye na Pasiteri Niyonshuti, Umuyobozi w’Itorero rya Zion Temple i Ntarama mu Bugesera, Pasiteri Olivier Ndizeye, yavuze ko yamenyanye na Pasiteri Niyonshuti byisumbuyeho aho yari yamutumiye mu materaniro yo kurwanya ikoreshwa ry’ibiyobyabwenge mu rubyiruko.",0,0,0,0,0,0
kinyarwanda_1_00065,Ati “Bisaba kuba witeguye gushyira ubuzima bwawe hanze cyane ko tuzaba dukora ‘Reality TV Show’ kandi bisaba kugaruka ku buzima bwacu.,0,0,0,0,0,0
kinyarwanda_1_00066,"Ni aho twifuza gushyira imbaraga kugira ngo bumve ko atari pasiteri wahamagawe gusa, ahubwo na bo bagomba kugira uruhare rwabo.”",0,0,0,0,0,0
kinyarwanda_1_00067,She paved the way for so many of us in the music industry and her legacy will continue to inspire generations to come 🤍 pic.twitter.com/Rje2gNUE2C,0,0,0,0,0,0
kinyarwanda_1_00068,Mwatubwira aho ishyirwa mu bikorwa ryayo rigeze ?,0,0,0,0,0,0
kinyarwanda_1_00069,"Nk’umwana uri iwabo, Abarundi bamweretse urukundo bafatanya kuririmba nyinshi mu ndirimbo ze.",0,3,0,0,0,0
kinyarwanda_1_00070,Dukora uburyo bwose bushoboka butuma umunyetorero yiyumvamo ibikorwa byaryo n’iby’igihugu.”,0,2,0,0,0,0
kinyarwanda_1_00071,"Umuyobozi muri MTN Rwanda ushinzwe imikoranire n’izindi nzego, Mukundwa Christine, yavuze ko ibi bikorwa by’iminsi 21 batangije bazabikorera mu turere twose aho bazahura n’abifuza gutera imbere, babasangize ubumenyi bwabafasha kwiteza imbere kurushaho.",0,3,0,0,0,0
kinyarwanda_1_00072,Ati “Hari ibitugonga kenshi byiganjemo kubona abafasha abana.,0,0,2,0,0,0
kinyarwanda_1_00073,Ati “Ni ikimera gitangaje kubera ko ibibabi byacyo bikura bikanatoha mu gihe cy’ijoro bitandukanye no ku zuba.”,0,0,0,3,0,0
kinyarwanda_1_00074,"Iyi ndwara umuntu ayikomora ku ruhererekane rw’imiryango, cyangwa se no gukunda kurya amafunguro yiganjemo ibikomoka mu mazi birimo nk’amafi.",0,0,0,0,0,0
kinyarwanda_1_00075,Ngo ntabwo yigeze isubizwa.,0,0,0,0,0,0
kinyarwanda_1_00076,"Umuyobozi ushinzwe imibereho myiza y’abakozi muri Broadband Corporation System, Susan Mutesi, yavuze ko hari byinshi ikigo cyifuza kugeraho gifatanyije n’inzego za Leta mu kubungabunga imibereho myiza y’abaturage.",0,0,0,0,0,0
kinyarwanda_1_00077,"Muri aka Kagari harimo imidugudu ine ituranye imazemo umwuka mubi uturuka ku mugore bita umurozi, aho hari n’abaturage bashakaga kumugirira nabi.",2,0,2,0,0,0
kinyarwanda_1_00078,Yemeje ko ubufatanye buri hagati y’u Rwanda na Kenya bwatanze umusaruro kandi buzakomeza.,0,3,0,0,0,0
kinyarwanda_1_00079,"Muri urwo rugendo Unity Club ikaba yarabaye umufatanyabikorwa we, kandi umusaruro uragaragara cyane ko benshi mu bana barerewe mu kigo babaye ababyeyi bafitiye igihugu akamaro.”",0,3,0,0,0,0
kinyarwanda_1_00080,Itangazo bashyize hanze rivuga ko “Abanyarwanda bo muri Leta zitandukanye za Amerika bahuriye hamwe ngo bahuze ijwi kugira ngo basabe Perezida Kagame gufungura urubuga rwa politiki mu gihugu”.,2,0,0,0,0,0
kinyarwanda_1_00081,Japhet yateye urwenya rw’uko i Rukara yahasanze isuku idasanzwe kuko iri no mu mifuka y’abahatuye n’abanyeshuri.,0,2,0,0,0,0
kinyarwanda_1_00082,"Yagize ati “Gaz ni nziza, idufasha mu guteka ariko kuyikoresha bisaba kwitwarika kubera ko igihe icyo ari cyo cyose amatiyo atambutsa gaz ashobora kwangirika igasohoka kandi iyo isohotse igahura n’umuriro bihita biteza impanuka.”",0,2,0,0,3,0
kinyarwanda_1_00083,"Iki gikorwa cyo kwizihiza umuganura muri Pologne cyabaye ku wa Gatandatu tariki ya 5 Kanama 2023, kibanzirizwa n’ibikorwa by’imikino yahuje Abanyarwanda n’inshuti zabo.",0,3,0,0,0,0
kinyarwanda_1_00084,"Ariko natwe hano i Jabana dufite izacu (megawati) zirenga 25, urumva rero ku mugoroba iyo zicaniwe rimwe amamiliyoni twishyura ya mazutu.”",3,0,0,0,0,0
kinyarwanda_1_00085,Avuga ko uyu mwana we atewe ubwoba n’uko abantu bazamufata kubera gusangira umugabo umwe na nyina.,0,0,0,0,3,0
kinyarwanda_1_00086,Ati “Buri gihe amakipe agiye mu mikino iyo ari yo yose dutanga imyenda ku bakinnyi.,0,0,0,0,0,0
kinyarwanda_1_00087,"Umuyobozi wa Miss World, Julia Morley yavuze bishimiye ko rigiye kubera mu Buhinde, igihugu yasuye mu myaka 30 ishize.",0,2,0,0,0,0
kinyarwanda_1_00088,Ni ibintu byagarutsweho n’Abadepite bashimangira ko hakwiriye kurebwa uburyo iri koranabuhanga rihabwa ingengo y’imari rikaba ryarangiza kubakwa.,0,1,0,0,0,0
kinyarwanda_1_00089,Ntabwo dushaka kuza ngo dutwike i Nyarugenge bimere nk’umuriro w’amashara.”,0,0,0,0,0,0
kinyarwanda_1_00090,pic.twitter.com/8SeoGk2b1v,0,0,0,0,0,0
kinyarwanda_1_00091,"Ubu maze gukira, n’ubu ngiye gutaha, nabaye mushya.""",0,3,0,0,0,0
kinyarwanda_1_00092,Yasabye ababyeyi b’abana gukomeza kubitaho babaha uburere bukwiye kuko imyaka bagezemo ari bwo bamwe batangira kurangara.,0,0,0,0,2,0
kinyarwanda_1_00093,"Abasiganwe muri iki cyiciro bayobowe na Hakizimana Emmanuel wabaye uwa mbere, yakoresheje iminota 10 n’amasegonda atandatu, akurikirwa na Ndayishimiye Erneste ndetse na Kayigamba mu bilometero bitatu bakoze.",0,0,0,0,0,0
kinyarwanda_1_00094,Mu Rwanda kandi bafata Afurika y’Epfo nk’umwanzi kubera uburyo yahaye rugari abashaka guhungabanya umutekano warwo.,3,0,0,0,0,0
kinyarwanda_1_00095,"Yakomeje avuga ko “Gusa nanone iyo uyikoresha abaye imbata yayo atakaza bwa bushobozi yari afite bwo kwitekerereza, bukagenda bugabanuka gahoro gahoro.”",0,0,0,0,3,0
kinyarwanda_1_00096,Ariko aba reyo bitonde sh kuko ntago ibi bintu nabyumva peee ishobora kuba ifite umuntu muri caf ntago ari gusa,2,0,0,0,0,0
kinyarwanda_1_00097,Ubwumvikane ku birebana no kwemera icyaha ntibubuza uwakorewe icyaha kumenya amakuru kuri dosiye y’ikurikiranacyaha no kugira uruhare mu gusobanura imikorere y’icyaha.,0,0,0,0,0,0
kinyarwanda_1_00098,Ni inyito ikura ibirari byayo ahasaga mu wa 1120.,0,0,0,0,0,0
kinyarwanda_1_00099,"Muhawenimana Jean Pierre yemeza ko kubona amazi meza byabagoraga kuko bavomaga amazi y’ibitega (ibidendezi); bikabagiragaho ingaruka zirimo no guhora barwaye inzoka, bigakururira abana igwingira.",0,0,3,0,0,0
kinyarwanda_1_00100,"Uyu mukobwa ubusanzwe ni umuririmbyi, umwanditsi w’indirimbo, umuraperi akaba n’umurika imideli.",0,0,0,0,0,0
kinyarwanda_1_00101,"Hashize iminsi ikibazo cy’iyi ndwara gikurikiranwa cyane haba ku nzego z’ubuyobozi n’abahinzi ubwabo muri rusange, ariko ngo biranga bikaba iby’ubusa, uburwayi bugakomeza kwibasira umusaruro w’abahinzi.",0,0,3,0,0,0
kinyarwanda_1_00102,Uburyo bwo kubyivanamo:,0,0,0,0,0,0
kinyarwanda_1_00103,"Uko utanga inshuro nyinshi ni na ko uba wirinda izo ndwara, ikindi ni ukugusuzuma ku buntu.”",0,2,0,0,0,0
kinyarwanda_1_00104,Kugira ngo iki kibuga kizajye cyifashishwa na nijoro cyongerewe amatara aho ubu gifite umunani agicanira.,0,3,0,0,0,0
kinyarwanda_1_00105,Nubwo indirimbo yaririmbye muri iki gitaramo zari ziganjemo inshya ariko abakunzi ba Israel Mbonyi bahitaga bazifata mu mutwe mu gihe gito ndetse nyinshi muri zo byageraga ku nyikirizo ya kabiri bamaze kuzifata bagahita bafatanya nawe kuririmba.,0,3,0,0,0,0
kinyarwanda_1_00106,"Yagize ati “Nibyo hari umwana koko wagaragaye yapfuye ariko ntabwo twakwemeza ko ari Mukase wamwishe, gusa yahise ashyikirizwa Ubugenzacyaha kugira ngo hakorwe iperereza.”",0,0,3,0,0,0
kinyarwanda_1_00107,Uyu musore unyaruka cyane kandi ufite amacenga menshi yigaragarije abarebye iri rushanwa ubwo yatsindaga igitego cya mbere cya Liberation FC ku munota wa 24 ku ishoti rikomeye yarekuriye mu rubuga rw’amahina.,0,3,0,0,0,0
kinyarwanda_1_00108,"Yakomeje avuga ko porogaramu yubatse neza, izajya ihita itanga amakuru mu buryo bwihuse.",0,3,0,0,0,0
kinyarwanda_1_00109,Mu gitondo cyo kuri uyu wa 24 Kanama ubuyobozi n’abaturage bakomeje gukora igenzura ngo barebe ko nta muriro usigaye basanga ntawo.,0,0,0,0,0,0
kinyarwanda_1_00110,"Umwe mu bashinzwe abakozi witwa Mukanyirigira Fortune ati “Iyo umugore yemeye twandika imyirondoro ye, ni ukuvuga amazina, akarere, umurenge, akagari n’umudugudu abarizwamo.",0,0,0,0,0,0
kinyarwanda_1_00111,"Ijambo Inkotanyi ryongera kunyibutsa umwe mu bantu mfatiraho icyitegererezo, nyakwigendera Inyumba Aloysia twahuriye mu muhango wo guhemba abagore n’abakobwa b’indashyikirwa mu bihembo bya ‘Celebrating Young Rwandan Women Achievers’ Awards (CYRWA)’.",0,0,2,0,0,0
kinyarwanda_1_00112,"Radio Okapi yatangaje ko Fayulu yasabye amahanga kumushyigikira, ntazigere yohereza indorerezi muri aya matora mu rwego rwo gushyigikira demokarasi n’uburenganzira bwa muntu.",2,0,0,0,0,0
kinyarwanda_1_00113,Shaddyboo kuva yerekeje i Burayi muri Werurwe 2023 yakunze kugaragaza ko akumbuye bikomeye Manzi ajya yita ‘Sugar daddy’.,0,0,0,0,0,0
kinyarwanda_1_00114,"Ingaruka z’aya mahugurwa zirenga kure ibyo gufasha ingo ubwazo; zikagera ku miryango migari, zizana impinduka mu migirire n’imyitwarire ya sosiyete.",0,3,0,0,0,0
kinyarwanda_1_00115,Indirimbo aheruka gushyira hanze ye bwite ni “Buriyana” yakoze mu mezi icyenda ashize.,0,0,0,0,0,0
kinyarwanda_1_00116,"Ati “Ni umudamu usanzwe atabarurirwa aha ariko utuye mu murenge wa Muhima mu kagari kitwa Tetero, uko byagenze yacumbikiye umugabo mu buryo bw’uburaya hanyuma rero bamaze kuryamana umugabo ntiyamwishyura asohoka ariruka n’umugore asohoka amwirukankana afite icupa ry’inzoga amufatira hano imbere yo kwa Mutangana ahita amukubita iryo cupa.”",0,0,2,0,0,0
kinyarwanda_1_00117,Ati “Nta wabihakanye ko gushwana gukomeye hagati y’U Bushinwa na Amerika bizageza isi ku ishyano rikomeye”.,0,0,0,0,3,0
kinyarwanda_1_00118,"Gusa ku bigo byigisha siyansi, imishinga-nyigisho izajya ishyirwaho hashingiwe ku bushobozi bw’ibikoresho biri muri za laboratwari kugira ngo abanyeshuri bose bashobore kwibona muri ubu buryo bushya kandi babubyaze umusaruro.",0,2,0,0,0,0
kinyarwanda_1_00119,"Iyo wubatse ubushobozi bw’umugore, uba wubatse umuryango, bityo ukaba uteje imbere igihugu.”",0,3,0,0,0,0
kinyarwanda_1_00120,Yego ibintu byose ntabwo bitangira byoroshye.,0,0,0,0,0,0
kinyarwanda_1_00121,Yahageze afite 12.,0,0,0,0,0,0
kinyarwanda_1_00122,“Ni byiza kuba ngiye kubikora birimo Kirisitu kandi n’abandi babibonereho urugero kuko kuba uri runaka ntibivuze ko utabikora uri umukristo kuko nibwo ubona umugisha byisumbuyeho.”,0,2,0,0,0,0
kinyarwanda_1_00123,"Ibitarigeze bihinduka ni icyubahiro no kubaha n’ubusugire bw’ibihugu bya Afurika, imico n’indangagaciro zabyo, ubushake bwo kwigenera ahazaza no kubaka umubano n’abafatanyabikorwa mu bwisanzure.",0,0,0,0,0,0
kinyarwanda_1_00124,Amakuru avuga ko uyu muryango usanganwe abana umunani aho bari babyaye umwana wa cyenda kandi bakaba nta bushobozi bafite ngo kuko bafite inzu babamo yonyine.,0,0,3,0,0,0
kinyarwanda_1_00125,Ikindi kandi hasuzumwe niba hari impamvu zikomeye zituma akekwaho icyaha rusanga hari impamvu zikomeye zishingiye ku kuba yaremeye ko amashusho yakwirakwijwe ari aye nubwo avuga ko bitari mu ruhame.,0,0,0,0,0,0
kinyarwanda_1_00126,Icyo twifuza ni uko twajya tuzibonera ku kigihe.,0,0,0,0,0,0
kinyarwanda_1_00127,Ni ikipe yatunguye benshi kuko bumvaga ko bataza gusoza irushwa bagafatwa n’ibihe byagenwe bakava mu irushanwa.,0,0,0,2,0,0
kinyarwanda_1_00128,"Kubera izi mpamvu, ntanze ubwegure bwanjye.",0,0,2,0,0,0
kinyarwanda_1_00129,Angeline Ndayishimiye ni bwo bwa mbere agiriye uruzinduko mu Rwanda.,0,0,0,2,0,0
kinyarwanda_1_00130,"Bwa mbere mu 2017 n’ubwa kabiri mu 2018, u Rwanda rwari mu Itsinda rya Gatatu ruba urwa karindwi n’urwa munani mu marushanwa yabereye mu Misiri na Kenya.",0,0,2,0,0,0
kinyarwanda_1_00131,Uwitwa Batman yahize abandi bari bahatanye muri ibi bihembo kubera ko ari we watowe cyane kurusha bagenzi be.,0,3,0,0,0,0
kinyarwanda_1_00132,Ni umukino abawukina batagomba kurenga batandatu barimo n’umunyezamu.,0,0,0,0,0,0
kinyarwanda_1_00133,"Umukuru wa Polisi yavuze ko ukekwa atarafatwa, anasaba ababa bazi aho ari ko bahamenyesha Polisi.",2,0,2,0,0,0
kinyarwanda_1_00134,"Igihingwa kihera kurusha ibindi ni imyumbati, ibindi bikabaha umusaruro udashimishije ari naho bahera basaba ko bafashwa kubona ishwagara yo gushyira mu mirima yabo bemeza ko yagundutse.",0,0,3,0,0,0
kinyarwanda_1_00135,Ati “Ntabwo umuntu akwiye kwirukanka umureba ngo ubyihorere.,2,0,0,0,0,0
kinyarwanda_1_00136,"Minisitiri Uwizeye ati “Kutagira itegeko bigira ingaruka ku nzego zishinzwe kugenzura imipaka, kuko iyo abagenzi bamaze kwemererwa kwinjira, amakuru yabo arambuye yoherezwa izo nzego kugira ngo ziyasuzume zigereranyije n’amakuru abitswe mu bubiko shingiro.”",0,0,0,0,0,0
kinyarwanda_1_00137,"Muri Mutarama uyu mwaka kandi Urukiko Rwisumbuye rwa Gasabo rwategetse Ibitaro byitiriwe Umwami Faisal kwishyura Mbareba Geoffrey mu izina ry’umwana we, indishyi ya miliyoni 125 Frw, kubera uburangare bw’abaganga bwatumye umwana we avukana ubumuga bwa burundu.",0,0,3,0,0,0
kinyarwanda_1_00138,"Perezida wa Leta zunze Ubumwe za Amerika Joe Biden yanenze iryo tegeko, avuga ko ari ihonyora ribabaje cyane ry’uburenganzira bwa muntu ku isi, asaba ko rikurwaho.",2,0,1,0,0,0
